,name,dosage_form,dose,atc_code,scope,dose_form,strength_size
2009,Zuclopenthixol acetate,Injection,50-150mg,N05AF05,South Africa,,
2010,Zuclopenthixol decanoate,Injection,100–400 mg ,N05AF05,South Africa,,
2013,Aminophylline,Injection,1mg/kg/hour ,R03DA05,South Africa,,
2016,Beclomethasone ,Inhaler,100-200mcg,R03BA01,South Africa,,
2018,Budesonide,Inhaler,50-100mcg,R03BA02,South Africa,,
2024,Fluticasone,Solution,50mcg/spray. 1 spray,R03BA05,South Africa,,
2026,Hydrcortisone ,Injection,2mg/kg/dose ,H02AB09,South Africa,,
2027,Ipratropium bromide,Solution,0.25mg in 2ml sodium chloride 0.9%,R03BB01,South Africa,,
2055,Salmeterol/Fluticasone,Inhaler,25/50 (2 puffs),R03AK06,South Africa,,
2063,Sodium Chloride 3% (3ml 5% sodium chloride in 2ml sterile water),Solution,Nebulise ,,South Africa,,
2083,Phenobarbital,Injection,20mg/kg,N03AA02,South Africa,,
2099,Beclomethasone,Inhaler,200mcg,R03BA01,South Africa,,
2103,Formoterol,Inhaler,12mcg,R03AC13,South Africa,,
2112,"Rifampicin, Isoniazid",Tablet/Capsule,150/75,J04AM02,South Africa,,
2120,Salmeterol/fluticasone,Inhaler,50/500mcg,R03AK06,South Africa,,
2122,Theophylline,Tablet/Capsule,200mg,R03DA04,South Africa,,
2131,Cyclopentolate + phenylephrine,Solution/ointment,1 drop ,S01FA54,South Africa,,
2133,Fluorescein 2%,Solution/ointment,stain the cornea,,South Africa,,
2135,Oxybuprocaine,Solution/ointment,1 drop ,S01HA02,South Africa,,
2137,Sterile water ,Solution/ointment,irrigate ,,South Africa,,
2138,Tobramycin,Solution/ointment,1 drop,S01AA12,South Africa,,
2139,Tobramycin 0.3%,Solution/ointment,Apply ,S01AA12,South Africa,,
2165,Moxifloxacin,Injection,400mg,J01MA14,South Africa,,
2174,Acetic acid 2%,Solution,3-4 drops,S02AA10,South Africa,,
2179,Oxymetazoline 0.05%,Solution,,R01AA05,South Africa,,
2181,BIPP (bismuth iodoform paraffin paste),Cream/ointment/gel,impregnate cotton wool,,South Africa,,
2187,Oxymetazoline 0.025%,Solution,1-2 drops,R01AA05,South Africa,,
2232,Spacer (for metered dose inhaler),,,,South Africa,,
2238,Acetylcholine chloride,,,S01EB09,South Africa,,
2240,Betaxolol 0.25-0.5%,Solution,1 drop,S01ED02,South Africa,,
2242,Bimatoprost 0.03%,Solution,,S01EE03,South Africa,,
2243,Brimonidine 0.15-0.2%,Solution,1 drop,S01EA05,South Africa,,
2246,Cyclopentolate,Solution,2mg/ml,S01FA04 ,South Africa,,
2248,Dexamethasone 0.1%,Solution,1-2 drops,S01CB01,South Africa,,
2249,Fluorescein ,Opthalmic strips,,S01JA01 ,South Africa,,
2252,Glycerine (glycerol),Solution,1g/kg,A06AX01,South Africa,,
2253,Hyaluronidase,Injection,1500IU,S01KA01,South Africa,,
2254,Hydroxypropyl methylcellulose,Solution,1 drop,,South Africa,,
2256,Lanolin ,Ointment,,,South Africa,,
2257,Latanoprost 0.005%,Solution,1 drop,S01EE01,South Africa,,
2259,Mitomycin C,Injection,2mg,L01DC03 ,South Africa,,
2260,Natamycin 5%,Solution,1 drop,S01AA10,South Africa,,
2261,Oxybuprocaine hydrochloride 0.4%,Solution,,S01HA02 ,South Africa,,
2263,Pilocarpine 1%,Solution,1 drop,S01EB01,South Africa,,
2264,Polyacrylic acid,Gel,2mg/g,,South Africa,,
2266,Sodium hyaluronate,,,S01KA01,South Africa,,
2267,Sterile intraocular irrigating solution,,,,South Africa,,
2268,Timolol 0.25-0.5%,Solution,1 drop,S01ED01,South Africa,,
2269,Timolol 0.5%,Solution,,S01ED01,South Africa,,
2270,Tropicamide 1%,Solution,,S01FA06 ,South Africa,,
2271,Activated Charcoal,Oral Powder,1g/kg in 50-100ml water,A07BA01,South Africa,,
2279,Boomslang monovalent antivenom,Injection,10 - 20 ml,J06AA03,South Africa,,
2282,Chloramphenicol ,Solution/ointment,Apply ,D06AX02,South Africa,,
2284,Deferoxamine (desferrioxamine),Injection,15mg/kg/hour,V03AC01,South Africa,,
2296,Latrodectus Spider Antivenom,Injection,5-10ml,DB14113,South Africa,,
2298,Local anaesthetic ,Solution/ointment,instil ,,South Africa,,
2299,N-Acetylcysteine,Injection,100mg/kg ,V03AB23,South Africa,,
2306,Polyethylene glycol (PEG) balanced electrolyte solution,Solution,500 ml per hour,A06AD15,South Africa,,
2308,Polyvalent antivenom,Injection,50ml,J06AA03,South Africa,,
2315,Scorpion antivenom,Injection,10ml,J06AA ,South Africa,,
2316,Sodium bicarbonate 8.4%,Solution,1ml/kg,B05XA02,South Africa,,
2330,Sodium cromoglycate 2%,Solution,1 drop,S01GX01,South Africa,,
2332,Water for injection,Injection,2ml,,South Africa,,
2351,Activated charcoal,Solution,50g diluted in 100ml water,A07BA01,South Africa,,
2366,"Ethanol 40% (gin, whiskey, vodka, any spirit liquor of 43% v/v)",Solution,Dilution required,V03AB16,South Africa,,
2367,Ethanol 96%,Solution,Dilution required,V03AB16,South Africa,,
2369,Methylene blue (methylthionine chloride) 1%,Injection,1-2mg/kg,V03AB17,South Africa,,
2374,N-acetylcysteine,Injection,100-200mg/kg,V03AB23,South Africa,,
2377,Polyvalent snake antivenom,Injection,50-200ml,J06AA03,South Africa,,
2382,Scorpion Antivenom,Injection,10ml,,South Africa,,
2389,Spider antivenom,Injection,5-10ml,,South Africa,,
2391,Tetracaine 1%,Solution,1 drop,S01HA03,South Africa,,
2397,Alprostadil,Injection,0.05-0.1mcg/kg/minute,C01EA01,South Africa,,
2409,Caffeine Citrate,Injection,20mg/kg,N06BC01,South Africa,,
2421,Dextrose 15%,Solution,15mg/kg/minute ,B05BA03,South Africa,,
2429,Dopamine,Injection,5-15mcg/kg/minute ,C01CA04,South Africa,,
2455,Lipid Emulsion 20%,Injection,0.25 mL/kg/minute,B05BA02,South Africa,,
2468,Multivitamin (providing at least vitamin D 400–800 IU and vitamin A 1250–5000 IU per 24 hours),Solution,,,South Africa,,
2470,Neonatal maintenance solution,Solution,60–80 mL/kg/24 hours,B05XA03,South Africa,,
2493,Surfactant,Solution,100 mg/kg,,South Africa,,
2500,Oxymetazoline 0.025 - 0.05%   ,Solution,2 drops in each nostril,R01AB07,South Africa,,
2536,Povidone iodine 5%,Cream,As needed,D08AG02,South Africa,,
2758,Polyethylene glycol 59g/l + sodium sulphate and electrolytes ,Solution,10 - 25 mL/kg/hour,A06AD15,South Africa,,
2760,Sorbitol 70%,Solution,2 mL/kg,A06AD18,South Africa,,
2778,Emtricitabine,Tablet/Capsule,200mg,J05AF09,South Africa,,
2804,Rabies Vaccine,Injection,1,J07BG01,South Africa,,
2815,Iohexol,Suspension,,V08AB02,South Africa,,
2816,Iopamidol,Suspension,,V08AB04,South Africa,,
2817,Iopromide,Suspension,,V08AB05,South Africa,,
2818,Ioversol,Suspension,,V08AB07,South Africa,,
2823,Bupivacaine ,Injection,maximum dose allowed for patient weight,N01BB01,South Africa,,
2826,Bupivacaine 0.1%,Injection,0.2ml/kg/hour,N01BB01,South Africa,,
2827,Bupivacaine 0.2%,Injection,0.2ml/kg/hour,N01BB01,South Africa,,
2839,Fenoterol ,Solution,refer to STGs ,,South Africa,,
2907,Ceftazidime-avibactam,Injection,2.5 g,J01DD52 ,South Africa,,
2929,Balanced-salt solution crystalloid,Injection,30ml/kg over 3 hours,,South Africa,,
2975,Calcium Chloride 10%,Injection,0.2mL/kg/dose,A12AA07,South Africa,,
2987,Dextrose 25%,Injection,2 mL/kg,B05BA03,South Africa,,
2988,Dextrose 5%/Sodium chloride 0.45%,Solution,refer to STGs ,A12BA01,South Africa,,
3009,"Insulin, rapid acting ",Injection,0.1 units/kg ,,South Africa,,
3011,Intravenous polyvalent human immune-globulin (IVIG),Solution,total of 2g/kg,J06BA02,South Africa,,
3045,Mist. Potassium citrate 30% suspension (2.8mmol/mL),Injection,1mmol/kg/dose ,A12BA01,South Africa,,
3051,Potassium Chloride 15% or Potassium Phosphate 15% (= 2mmol/mL of potassium),Injection,1-2mmol/kg (recommended dose = 1.2 mmol/kg = 0.3 mmol/kg/hour for 4 hours),A12BA01,South Africa,,
3052,Potassium Chloride 600mg (8mmol) ,Tablet/capsule/granules,1mmol/kg/dose ,A12BA01,South Africa,,
3053,Potassium Phosphate (1mmol/L phosphate/ 2mmol/L potassium),Injection,0.15–0.6 mmol/kg/day,B05XA06,South Africa,,
3066,Sodium bicarbonate 8.5%,Solution,1 mL/kg (diluted 1:1 with sterile water),B05XA02,South Africa,,
3075,Sodium Chloride 3%,Solution,0.1–1 mL/kg/hour,B05XA03,South Africa,,
3089,Bisacodyl,Suppository,10mg,A06AB02,South Africa,,
3128,Granisetron,Tablet/capsule/injection,,A04AA02,South Africa,,
3130,Mesalazine (rectal),Suppository,,A07EC02,South Africa,,
3131,Mesalazine (oral),Tablet/capsule,,A07EC02,South Africa,,
3132,Insulin detemir,Vial/pen,,A10AE05,South Africa,,
3133,Insulin glargine,Vial/pen,,A10AE04,South Africa,,
3134,Micronutrients,Injection,,A111/A12,South Africa,,
3135,"Omeprazole, IV",Injection,,A02BC01,South Africa,,
3136,"Esomeprazole, IV",Injection,,A02BC05,South Africa,,
3137,"Pantoprazole, IV",Injection,,A02BC02,South Africa,,
3139,rFVIIa,Infusion solution,,B02BD03,South Africa,,
3140,aPCC,Infusion solution,,B02BD03,South Africa,,
3141,Emicizumab,Injection,,B02BX06,South Africa,,
3142,Minoxidil,Tablet/capsule,,C02DC01,South Africa,,
3143,Atorvastatin – high dose (80mg/day),Tablet/capsule,,C10AA05,South Africa,,
3144,Ezetimibe,Tablet/capsule,,C10AX09,South Africa,,
3145,Dithranol,Cream/ointment/gel,,D05AC01,South Africa,,
3146,Clobetasol propionate 0.05%.,Cream/ointment/gel,,D07AD01,South Africa,,
3147,Isotretinoin,Tablet/capsule,,D10BA01,South Africa,,
3148,Acitretin,Tablet/capsule,,D05BB02,South Africa,,
3149,Cabergoline,Tablet/capsule,,G02CB03,South Africa,,
3150,Levonorgestrel Intrauterine system,IUD,,G03AC03,South Africa,,
3151,Oestrogen,Tablet/capsule,,G03CA,South Africa,,
3152,Testosterone,Injection,,G03BA03,South Africa,,
3154,Cyproterone acetate,Injection,,G03HA01,South Africa,,
3155,"Cyproterone,
Ethinyl Oestradiol",Tablet/capsule,,G03HB01,South Africa,,
3156,Sildenafil,Tablet/capsule,,G04BE03,South Africa,,
3157,Tadalafil,Tablet/casule,,G04BE08 ,South Africa,,
3158,Vardenafil,Tablet/casule,,G04BE09,South Africa,,
3160,"Somatropin
(Growth Hormone)",Injection,,H01AC01,South Africa,,
3161,"Octreotide
(Short-acting)",Injection,,H01CB02,South Africa,,
3162,Ketoconazole,Tablet/capsule,,J02AB02,South Africa,,
3163,Itraconazole,Tablet/capsule,,J02AC02,South Africa,,
3164,Caspofungin,Injection,,J02AX04,South Africa,,
3165,Micafungin,Injection,,J02AX05,South Africa,,
3166,Anidulafungin,Injection,,J02AX06,South Africa,,
3167,Ribavirin,Tablet/capsule,,J05AP01,South Africa,,
3168,Sofosbuvir- velpatasvir,Tablet/capsule,,J05AP55,South Africa,,
3169,Intravenous Immunoglobulin (IVIG),Injection,,J06BA02,South Africa,,
3171,Chlorambucil,Tablet/capsule,,L01AA02,South Africa,,
3172,Melphalan,Tablet/capsule/injection,,L01AA03,South Africa,,
3173,Ifosfomide,Injection,,L01AA06,South Africa,,
3174,Busulfan,Tablet/capsule/injection,,L01AB01,South Africa,,
3175,Bacille Calmette-Guerin (BCG),Injection,,L03AX03,South Africa,,
3176,Dacarbazine,Injection,,L01AX04,South Africa,,
3179,Mercaptopurine,Tablet/capsule,,L01BB02,South Africa,,
3180,Thioguanine,Tablet/capsule,,L01BB03,South Africa,,
3181,Fludarabine,Injection,,L01BB05,South Africa,,
3182,Cytarabine,Injection,,L01BC01,South Africa,,
3183,Topical 5 Fluorouracil,Cream/ointment/gel,,L01BC02,South Africa,,
3184,Capecitabine,Tablet/capsule,,L01BC06,South Africa,,
3185,Gemcitabine,Injection,,L01BC05,South Africa,,
3186,Fluoro-uracil,Injection,,L01BC52,South Africa,,
3187,Vinblastine,Injection,,L01CA01,South Africa,,
3188,Vincristine,Injection,,L01CA02,South Africa,,
3189,Vinorelbine (IV),Injection,,L01CA04,South Africa,,
3190,Docetaxel,Injection,,L01CD02,South Africa,,
3191,Paclitaxel,Injection,,L01CD01,South Africa,,
3192,Doxorubicin,Injection,,L01DB01,South Africa,,
3193,Daunorubicin,Injection,,L01DB02,South Africa,,
3194,Idarubicin,Injection,,L01DB06,South Africa,,
3195,Mitoxantrone,Injection,,L01DB07,South Africa,,
3196,Epirubicin,Injection,,L01DB03,South Africa,,
3197,Bleomycin,Injection,,L01DC01,South Africa,,
3198,Rituximab,Injection,,L01FA01,South Africa,,
3199,Cisplatin,Injection,,L01XA01,South Africa,,
3200,Carboplatin,Injection,,L01XA02,South Africa,,
3201,Etoposide,Injection,,L01XA02,South Africa,,
3202,Oxaliplatin,Injection,,L01XA03,South Africa,,
3203,Bevacizumab,Injection,,L01XC07,South Africa,,
3204,Imatinib,Tablet/capsule,,L01EA01,South Africa,,
3205,Dasatinib,Tablet/capsule,,L01EA02,South Africa,,
3206,Nilotinib,Tablet/capsule,,L01EA03,South Africa,,
3207,Trastuzumab,Injection,,L01XC03,South Africa,,
3208,Bortezomib,Injection,,L01XG01,South Africa,,
3209,Asparaginase,Injection,,L01XX02,South Africa,,
3210,All-trans retinoic acid (tretinoin),Tablet/capsule,,L01XX14,South Africa,,
3211,Irinotecan,Injection,,L01XX19,South Africa,,
3212,Goserelin,Injection,,L02AE03,South Africa,,
3213,Buserelin,Implant,,L02AE01,South Africa,,
3214,Leuprolide,Injection,,L02AE02,South Africa,,
3215,Triptorelin ,Injection,,L02AE04,South Africa,,
3217,Tamoxifen,Tablet/capsule,,L02BA01,South Africa,,
3218,Anastrozole,Tablet/capsule,,L02BG03,South Africa,,
3220,Exemestane,Tablet/capsule,,L02BG06,South Africa,,
3221,Filgrastim,Injection,,L03AA02,South Africa,,
3222,Antithymocyte immunoglobulin (ATG),Infusion solution,,L04AA04,South Africa,,
3223,Sirolimus,Tablet/capsule,,L04AH01,South Africa,,
3224,Mycophenolate mofetil (MMF),Tablet/capsule,,L04AA06,South Africa,,
3225,Leflunomide,Tablet/capsule,,L04AK01,South Africa,,
3227,Teriflunomide,Tablet/capsule,,L04AK02,South Africa,,
3228,Adalimumab,Injection,,L04AB04,South Africa,,
3229,Infliximab,injection,,L04AB02,South Africa,,
3231,Interferon beta 1a,Injection,,L03AB07,South Africa,,
3232,Interferon beta 1b,Injection,,L03AB08,South Africa,,
3233,Basiliximab,Injection,,L04AC02,South Africa,,
3234,Ciclosporin,Tablet/capsule/solution/injection,,L04AD01,South Africa,,
3235,Tacrolimus,Tablet/capsule,,L04AD02,South Africa,,
3237,Lenalidomide,Tablet/capsule,,L04AX04,South Africa,,
3238,Botulinum toxin,Injection,,M03AX01,South Africa,,
3239,Zoledronate,Injection,,M05BA08,South Africa,,
3241,Ibandronate,Injection,,M05BA06,South Africa,,
3242,Transdermal fentanyl (fentanyl patches),Patch,,N02AB03,South Africa,,
3244,Gabapentin,Tablet/capsule,,N02BF01,South Africa,,
3245,Pregabalin,Tablet/capsule,,N02BF02,South Africa,,
3246,Ropinarole,Tablet/capsule,,N04BC04,South Africa,,
3247,Pramipexole,Tablet/capsule,,N04BC05,South Africa,,
3249,Amisulpride,Tablet/capsule,,N05AL05,South Africa,,
3250,Aripiprazole,Tablet/capsule,,N05AX12,South Africa,,
3251,Alprazolam,Tablet/capsule,,N05BA12,South Africa,,
3252,Bupropion,Tablet/capsule,,N06AX12,South Africa,,
3253,Venlafaxine,Tablet/capsule,,N06AX16,South Africa,,
3254,Montelukast,Tablet/capsule/granules,,R03DC03,South Africa,,
3255,"Deferasirox
",Tablet/capsule,,V03AC03,South Africa,,
3256,Calcium folinate IV,Injection,,V03AF03,South Africa,,
3257,Calcium folinate oral,Tablet/capsule,,V03AF03,South Africa,,
3258,Lanthanum carbonate,Tablet/capsule,,V03AE03,South Africa,,
3259,Sevelamer,Tablet/capsule,,V03AE02,South Africa,,
3260,Mesna,Injection,,V03AF01,South Africa,,
3261,Rifabutin,Tablet/Capsule,150mg,J04AB04,South Africa,,
0,Halothane,,,,Kenya,Inhalation,250mL
1,Isoflurane,,,,Kenya,Inhalation,250mL
2,Sevoflurane,,,,Kenya,Inhalation,250mL
3,Dexmedetomidine,,,,Kenya,Injection,200 micrograms/2mL
4,Etomidate,,,,Kenya,Injection,2mg/mL (10mL Vial)
5,Fentanyl,,,,Kenya,Injection,50micrograms/mL (2mL Ampoule)
6,Ketamine,,,,Kenya,Injection,50mg (as HCL)/mL (10mL vial)
7,Midazolam,,,,Kenya,Injection,1mg (as HCl)/mL (5mL amp)
8,Propofol,,,,Kenya,Injection,10mg/mL (20mL vial)
9,Remifentanyl,,,,Kenya,PFI,2mg/2mL
10,Thiopental sodium,,,,Kenya,PFI,500mg vial
11,Bupivacaine,,,,Kenya,Injection,0.5% (as HCl) (10mL vial)
12,Bupivacaine + Glucose,,,,Kenya,Injection,0.5% (as HCl) (5mg/mL) + glucose 8% (80mg/mL) (4mL amp)
13,Lignocaine,,,,Kenya,Injection,2% (as HCl) (30mL vial)
17,Lignocaine + Epinephrine (Adrenaline),,,,Kenya,Dental cartridge,"2% + 1:80,000 (1.8mL cartridge)"
19,Dantrolene,,,,Kenya,Injection,20mg
21,Ephedrine,,,,Kenya,Injection,30mg
22,Epinephrine (adrenaline)16,,,,Kenya,Injection,1mg /1mL amp17
27,Morphine,,,,Kenya,Injection,10mg (as HCl or sulphate) /1mL amp
29,Ondansetron,,,,Kenya,Injection,2mg/mL (2mL Ampoule)
30,Phenylephrine,,,,Kenya,Injection,10mg/mL Hydrochloride 1mL
33,Medical air,,,,Kenya,Inhalation (medical gas),
34,Nitrous oxide,,,,Kenya,Inhalation (medical gas),
35,Oxygen,,,,Kenya,Inhalation (medical gas),
36,Atracurium,,,,Kenya,Injection,10mg (as besilate)/mL (5mL amp)
37,Cisatracurium,,,,Kenya,Injection,2mg (as besilate)/mL (10mL amp)
38,Rocuronium,,,,Kenya,Injection,"10mg/mL (as bromide), 5mL vial"
39,Suxamethonium,,,,Kenya,Injection,50mg (as chloride)/mL (2mL amp)
40,Vecuronium,,,,Kenya,PFI,10mg (as bromide) vial [c]
41,Neostigmine,,,,Kenya,Injection,2.5mg (as metasulphate)/1mL amp
42,Pyridostigmine,,,,Kenya,Tablet,60mg (as bromide)
45,Atropine,,,,Kenya,Injection,1mg (as sulphate)/1mL amp
46,Glycopyrronium,,,,Kenya,Injection,200 micrograms (as bromide)/mL
47,Acetylsalicylic acid (Aspirin),,,,Kenya,Tablet,300mg
48,Celecoxib,,,,Kenya,Tablet,200mg
49,Dexketoprofen,,,,Kenya,Tablet,25mg
51,Ibuprofen,,,,Kenya,Oral liquid,100mg/5mL [c] 32
53,Ketorolac,,,,Kenya,Injection (IM/IV),30mg/mL
54,Paracetamol,,,,Kenya,Injection (for IV infusion)34,10mg/mL (100mL vial)
58,Dihydrocodeine phosphate,,,,Kenya,Tablet,30mg
61,Methadone,,,,Kenya,Tablet,5mg
68,Oxycodone,,,,Kenya,Tablet (i/r),5mg (as HCI)
69,Tramadol,,,,Kenya,Capsule,50mg
71,Amitriptyline,,,,Kenya,Tablet,25mg
72,Bisacodyl,,,,Kenya,Tablet,5mg
73,Carbamazepine,,,,Kenya,Tablet (scored),200mg
74,Dexamethasone,,,,Kenya,Injection,4mg (as sodium phosphate)/1mL amp
77,Diazepam,,,,Kenya,Injection,5mg/mL (2mL amp)
79,Gabapentin,,,,Kenya,Tablet,300mg
80,Haloperidol,,,,Kenya,Injection,5mg/1mL amp
82,Hyoscine butylbromide,,,,Kenya,Injection,20mg/1mL amp
84,Lactulose,,,,Kenya,Oral liquid,3.1-3.7g/5mL
85,Loperamide,,,,Kenya,Capsule,2mg
86,Metoclopramide,,,,Kenya,Injection,5mg/mL (2mL amp)
92,Prednisolone,,,,Kenya,Oral liquid,15mg/5mL [c]
94,Pregabalin,,,,Kenya,Capsule,25mg
96,Senna,,,,Kenya,Tablet,7.5mg
97,Cetirizine,,,,Kenya,Tablet,10mg
99,Chlorpheniramine,,,,Kenya,Injection,10mg (as maleate)/1mL amp
102,Diphenhydramine,,,,Kenya,Injection,50mg/mL
103,Epinephrine (adrenaline)58,,,,Kenya,Injection,1mg /1mL amp
104,Hydrocortisone,,,,Kenya,PFI,100mg (as sod. succinate) vial
105,Loratadine,,,,Kenya,Tablet,10mg
108,Acetylcysteine,,,,Kenya,Injection,200mg/mL (10mL amp59)
110,Calcium folinate,,,,Kenya,Injection,10mg/mL (5mL vial)
111,Calcium gluconate,,,,Kenya,Injection,100mg/mL in 10mL amp
112,Deferasirox,,,,Kenya,Tablet,100mg
114,Deferoxamine,,,,Kenya,PFI,500mg (as mesilate) vial
115,Ethanol,,,,Kenya,Injection,100% (10mL amp)
117,Fomepizole,,,,Kenya,Injection,5mg (as sulphate)/mL (20mL amp)
118,Flumazenil,,,,Kenya,Injection,100 micrograms/mL (5mL amp)
119,Lipid emulsion,,,,Kenya,Injection,20% (200 to 500mL)
120,Naloxone,,,,Kenya,Injection,400 micrograms (as HCl)/1mL amp
121,Phytomenadione (Vit K1)70,,,,Kenya,Injection,10mg/mL (1mL amp)
122,Pralidoxime,,,,Kenya,PFI,1g (as chloride or mesilate) vial
123,Protamine,,,,Kenya,Injection,10mg/mL (as sulphate) (5mL amp)
124,Sodium hydrogen carbonate (Sodium bicarbonate)73,,,,Kenya,Injectable solution,8.4% (10mL amp)
125,Sodium nitrite,,,,Kenya,Injection,30mg/mL (10mL amp)
126,Sodium thiosulphate,,,,Kenya,Injection,250mg/mL (50mL amp)
127,Succimer [Dimercaptosuccinic acid (DMSA)]76,,,,Kenya,Capsule,100mg
128,Acetazolamide,,,,Kenya,Tablet,250mg
132,Clobazam,,,,Kenya,Tablet,10mg (scored)
133,Clonazepam,,,,Kenya,Tablet,0.5mg
138,Lamotrigine,,,,Kenya,Tablet,25mg
142,Levetiracetam,,,,Kenya,Injection (IV)79,500mg
145,Lorazepam,,,,Kenya,Injection,4mg/1mL amp
146,Magnesium sulphate,,,,Kenya,Injection,"500mg/mL (50%), (10mL amp/vial)"
151,Oxcarbazepine,,,,Kenya,SODF,150mg
153,Phenobarbital (Phenobarbitone) sodium,,,,Kenya,Injection,30mg/1mL amp [c]86
156,Phenytoin sodium,,,,Kenya,Injection,50mg/mL (5mL vial)
162,Topiramate,,,,Kenya,Tablet,25mg
164,Valproic acid (Sodium Valproate),,,,Kenya,Injection,100mg/mL (4mL amp)
170,Albendazole,,,,Kenya,Tablet (chewable)88,400mg
172,Mebendazole,,,,Kenya,"Tablet (chewable, dispersible)",500mg
173,Praziquantel,,,,Kenya,Tablet (scored),600mg
176,Diethylcarbamazine (DEC),,,,Kenya,Tablet (scored),100mg (as dihydrogen citrate)
177,Ivermectin,,,,Kenya,Tablet (scored),3mg
178,Amikacin,,,,Kenya,Injection,50mg (as sulphate)/mL in 2ml vial [c]
180,Amoxicillin,,,,Kenya,"Tablet (dispersible, scored)",250mg
184,Amoxicillin + clavulanic acid,,,,Kenya,PFOL,200mg (as trihydrate) + 28mg (as potassium salt) / 5mL
191,Ampicillin,,,,Kenya,PFI,500mg vial
192,Benzathine benzylpenicillin,,,,Kenya,PFI,900mg (1.2MU) vial
193,Benzylpenicillin,,,,Kenya,PFI,600mg (1MU) (as sodium or potassium salt) vial
195,Cefalexin,,,,Kenya,PFOL,125mg/5mL
197,Cefazolin,,,,Kenya,PFI,500mg (as sodium salt) in vial
199,Doxycycline,,,,Kenya,Tablet / Capsule,100mg (as hyclate)
200,Flucloxacillin,,,,Kenya,Capsule,250mg (as sodium salt)
204,Gentamicin,,,,Kenya,Injection,10mg/mL (as sulphate) (2mL vial)
206,Metronidazole,,,,Kenya,Injection,5mg/mL (100mL vial)
209,Nitrofurantoin,,,,Kenya,Oral liquid,25mg/5mL [c]
211,Phenoxymethylpenicillin (Penicillin V)108,,,,Kenya,PFOL,250mg (as potassium salt) /5mL
213,Tinidazole,,,,Kenya,Tablet (f/c),500mg
214,Azithromycin,,,,Kenya,Tablet (scored),500mg (anhydrous)
216,Cefixime,,,,Kenya,Tablet,400mg (as trihydrate)
217,Cefotaxime,,,,Kenya,Powder for Injection,500mg
219,Ceftazidime,,,,Kenya,PFI,250mg (as pentahydrate) vial
221,Ceftriaxone,,,,Kenya,Injection (IM/IV),250mg (as sodium salt) [c]114
223,Cefuroxime,,,,Kenya,PFI,750mg
224,Ciprofloxacin,,,,Kenya,Tablet (scored)117,500mg (as HCl)
226,Clarithromycin,,,,Kenya,Tablet (scored),500mg
227,Clindamycin,,,,Kenya,Capsule,150mg (as HCl)
230,Cotrimoxazole (Sulfamethoxazole + Trimethoprim),,,,Kenya,Injection,"80mg + 16mg (i.e., 96mg)/ mL (5mL amp)"
233,Erythromycin,,,,Kenya,Tablet,250mg
235,Piperacillin + Tazobactam,,,,Kenya,PFI,4g (as sodium salt) + 500mg (as sodium salt)
236,Ceftazidime + avibactam,,,,Kenya,PFI,2000mg+500mg
237,Colistin,,,,Kenya,PFI,1MU (as colistemethate sodium) vial
238,Fosfomycin,,,,Kenya,Granules for oral suspension,3g sachet
240,Linezolid,,,,Kenya,Injection (IV),2mg/mL in 300mL bag
242,Meropenem,,,,Kenya,PFI,500mg (as trihydrate)
243,Polymyxin B,,,,Kenya,PFI,"500,000 IU vial"
244,Teicoplanin,,,,Kenya,Injection,200mg
245,Tigecycline,,,,Kenya,PFI,50mg vial
246,Vancomycin,,,,Kenya,PFI,500mg vial (as HCl)
247,Clofazamine,,,,Kenya,Capsule,50mg
249,Dapsone,,,,Kenya,Tablet,100mg
251,Rifampicin (R),,,,Kenya,Tablet / Capsule,150mg
253,Ethambutol (E),,,,Kenya,"Tablet, (dispersible)",100mg
255,Isoniazid (H),,,,Kenya,Tablet,50mg (scored)
259,Pyrazinamide (Z),,,,Kenya,Tablet,500mg
265,Rifampicin + Isoniazid (RH),,,,Kenya,Tablet,150mg + 75mg
267,Rifampicin + Isoniazid + Pyrazinamide (RHZ),,,,Kenya,Tablet,75mg + 50mg + 150mg [c]
268,Rifampicin + Isoniazid + Pyrazinamide + Ethambutol (RHZE),,,,Kenya,Tablet,150mg + 75mg + 400mg + 275mg
269,Rifapentine + Isoniazid (3HP),,,,Kenya,Tablet,300mg+300mg
270,Amikacin (Am),,,,Kenya,Injection,1g (as sulphate) vial
271,Amoxicillin + clavulanic acid (Amx+Clv),,,,Kenya,Tablet,875mg + 125mg (1g)
272,Bedaquiline (Bdq),,,,Kenya,Tablet,100mg
273,Clofazimine (Cfx),,,,Kenya,Capsule,50mg
275,Cycloserine (Cs),,,,Kenya,Tablet,125mg [c]
277,Delamanid (Dlm),,,,Kenya,Tablet,50mg
278,Imipenem + Cilastatin,,,,Kenya,PFI,250mg + 250mg vial
280,Levofloxacin (Lfx),,,,Kenya,Tablet (dispersible),100mg [c]
284,Linezolid (Lzd),,,,Kenya,Tablet (dispersible),150mg [c]
286,Moxifloxacin (Mfx),,,,Kenya,Tablet (dispersible),100mg [c]
288,p-aminosalicylic acid (PAS),,,,Kenya,Granules,4g sachet
289,Prothionamide (Pto),,,,Kenya,Tablet,250mg
290,Terizidone (Trd),,,,Kenya,Tablet,300mg
291,Pretomanid,,,,Kenya,Tablet,200mg
292,Amphotericin B,,,,Kenya,PFI,50mg (as sodium deoxycholate) vial
294,Clotrimazole,,,,Kenya,Vaginal Tablet,500mg
