Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model,source_file
Acyclovir,GenName Y,Drug,hiv,hiv,Phase 2,2010-11-01,"Sex: ALL; Age: >18 Years; Criteria: * INCLUSION CRITERIA:

  1. Documentation of HIV-1 infection, by either two positive ELISAs or two discrepant ELISAs with a confirmatory positive Western Blot
  2. Documentation of prior HSV-2 infecti...",No,2011-05-08,FDA-83568,4.41,0.98,21.0,26.39,2015-03-30,2016-03-22,2037-03-22,99,Gilead,94,South Africa,40.66666666666666,78,57,15,25,0,69,27,0,3,0,False,False,False,True,True,False,True,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Nicoderm CQ 21Mg/24Hr Transdermal System,GenName Y,Drug,hiv,hiv,Phase 3,2024-04-30,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* diagnosed with HIV
* at least 18 years of age
* smoking at least 5 cigarettes/day
* exhaled Carbon Monoxide level greater than 5 at baseline
* willing to use transdermal nicotin...",Yes,2025-01-18,FDA-67680,2.62,0.32,5.0,7.94,2026-12-12,2027-04-08,2032-04-08,36,Pfizer,75,Overall,48.16666666666666,2,47,27,60,55,98,64,1,3,3,True,False,True,False,True,False,True,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
VRC01,AltName A,Biological,hiv,hiv,Phase 2,2021-02-11,"Sex: ALL; Age: >0 Weeks; Criteria: Infant Inclusion Criteria:

* Weigh at least 2500 grams
* Confirmed HIV-1 infection
* The following laboratory values at screening:

  * Cluster of differentiation 4 (CD4) lymphocyte percentage greate...",No,2022-01-30,FDA-46123,4.41,0.98,21.0,26.39,2025-07-10,2026-07-03,2047-07-03,62,J&J,37,South Africa,61.83333333333334,77,77,2,66,68,81,55,1,3,2,False,True,False,True,True,True,False,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Combination Antiretroviral Therapy (cART),TradeName X,Drug,hiv,hiv,Phase 2,2021-02-11,"Sex: ALL; Age: >0 Weeks; Criteria: Infant Inclusion Criteria:

* Weigh at least 2500 grams
* Confirmed HIV-1 infection
* The following laboratory values at screening:

  * Cluster of differentiation 4 (CD4) lymphocyte percentage greate...",No,2021-11-16,FDA-73618,4.41,0.98,21.0,26.39,2025-07-10,2026-07-03,2047-07-03,61,AstraZeneca,45,Kenya,56.33333333333334,3,55,63,61,90,66,55,0,3,3,False,False,True,False,True,True,False,True,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Intermitent Dosing,AltName B,Drug,hiv,hiv,Phase 4,2009-12-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Age 18 years or older
* CD4 count \> or = 200
* Viral load \< 50
* Treatment with a regimen containing efavirenz and tenofovir and lamivudine or emtricitabine for at least 90 da...",Yes,2010-04-15,FDA-35893,0.56,0.15,3.5,4.21,2010-06-23,2010-08-17,2014-02-15,71,Bayer,14,Kenya,52.5,59,26,44,73,27,86,36,1,1,2,False,True,False,True,False,False,False,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
E/C/F/TAF,GenName Y,Drug,hiv,hiv,Phase 3,2016-10-26,"Sex: ALL; Age: >18 Years; Criteria: Key Inclusion Criteria:

* Both Cohorts 1 and 2:

  * The ability to understand and sign a written informed consent form, which must be obtained prior to initiation of study procedures
  * HIV/HBV co-...",Yes,2017-08-23,FDA-44515,2.62,0.32,5.0,7.94,2019-06-09,2019-10-04,2024-10-04,19,AstraZeneca,55,South Africa,62.66666666666666,85,80,77,66,20,48,55,1,3,2,False,True,True,True,True,False,False,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Doravirine 100 Mg,Product Alpha,Drug,hiv,hiv,Phase 4,2024-10-18,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

Ability and willingness of participant or legal guardian/representative to provide informed consent.

HIV-1, documented by any licensed rapid HIV test or HIV enzyme or chemilumine...",No,2024-12-20,FDA-17410,0.56,0.15,3.5,4.21,2025-05-10,2025-07-04,2029-01-02,77,GSK,39,South Africa,77.83333333333333,96,94,90,70,19,98,45,1,3,1,False,True,True,True,False,False,True,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Integrase strand transfer inhibitors,AltName B,Drug,hiv,hiv,Phase 4,2024-10-18,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

Ability and willingness of participant or legal guardian/representative to provide informed consent.

HIV-1, documented by any licensed rapid HIV test or HIV enzyme or chemilumine...",No,2024-12-30,FDA-96627,0.56,0.15,3.5,4.21,2025-05-10,2025-07-04,2029-01-02,18,Sanofi,82,Senegal,60.66666666666666,92,21,100,37,18,96,18,0,0,2,False,False,False,False,False,False,False,False,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Tenofovir alafenamide/emtricitabine,AltName A,Drug,hiv,hiv,Phase 4,2024-10-18,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

Ability and willingness of participant or legal guardian/representative to provide informed consent.

HIV-1, documented by any licensed rapid HIV test or HIV enzyme or chemilumine...",Yes,2025-07-02,FDA-24944,0.56,0.15,3.5,4.21,2025-05-10,2025-07-04,2029-01-02,59,J&J,17,Kenya,43.83333333333334,73,77,14,5,26,68,45,0,4,1,False,False,False,True,True,True,True,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
tenofovir disproxil fumarate/emtricitabine,Molecule Z,Drug,hiv,hiv,Phase 4,2024-10-18,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

Ability and willingness of participant or legal guardian/representative to provide informed consent.

HIV-1, documented by any licensed rapid HIV test or HIV enzyme or chemilumine...",No,2025-03-15,FDA-91857,0.56,0.15,3.5,4.21,2025-05-10,2025-07-04,2029-01-02,61,AstraZeneca,5,Overall,41.66666666666666,4,38,85,77,28,18,45,2,1,2,True,True,False,False,False,True,False,False,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Dapivirine (DPV) Vaginal Ring (VR),GenName Y,Drug,hiv,hiv,Phase 3,2024-05-13,"Sex: FEMALE; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Age 18 through 40 years (inclusive) at Enrollment, verified per site standard operating procedures (SOPs).
* At Enrollment, evidence of a viable, intrauterine, singleton pregnan...",Yes,2024-11-09,FDA-47117,2.62,0.32,5.0,7.94,2026-12-25,2027-04-21,2032-04-21,24,J&J,35,South Africa,55.16666666666666,45,27,53,30,87,89,55,1,1,4,False,True,False,True,False,False,False,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Truvada Tablet,GenName Y,Drug,hiv,hiv,Phase 3,2024-05-13,"Sex: FEMALE; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Age 18 through 40 years (inclusive) at Enrollment, verified per site standard operating procedures (SOPs).
* At Enrollment, evidence of a viable, intrauterine, singleton pregnan...",No,2024-09-14,FDA-67924,2.62,0.32,5.0,7.94,2026-12-25,2027-04-21,2032-04-21,96,Bayer,58,Overall,28.83333333333333,21,40,55,23,20,14,36,1,2,1,True,False,True,False,True,False,False,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Fluzone High Dose Vaccine,GenName Y,Biological,hiv,hiv,Phase 2,2013-08-01,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

* Age 3 years (on or past their 3rd birthday) through 21 years of age (not yet reached their 22nd birthday) at the time of entry into the study.
* Written informed consent (and as...",Yes,2014-02-02,FDA-44042,4.41,0.98,21.0,26.39,2017-12-28,2018-12-21,2039-12-21,36,Pfizer,88,Senegal,33.66666666666666,73,22,35,1,26,45,36,1,2,1,True,False,False,True,False,True,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Fluzone Standard Dose Vaccine,Comp Beta,Biological,hiv,hiv,Phase 2,2013-08-01,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

* Age 3 years (on or past their 3rd birthday) through 21 years of age (not yet reached their 22nd birthday) at the time of entry into the study.
* Written informed consent (and as...",No,2014-04-02,FDA-43227,4.41,0.98,21.0,26.39,2017-12-28,2018-12-21,2039-12-21,26,J&J,27,Senegal,42.66666666666666,42,26,65,44,43,36,55,2,3,1,True,True,True,True,False,True,False,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Palifermin,GenName Y,Drug,hiv,hiv,Phase 2,2008-09-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV infected
* Receiving potent ART, defined as a combination of three or more antiretroviral drugs for at least 6 months prior to study entry
* CD4 count of 200 cells/mm3 or le...",Yes,2009-02-23,FDA-79420,4.41,0.98,21.0,26.39,2013-01-28,2014-01-21,2035-01-21,50,GSK,85,Kenya,41.83333333333334,74,55,41,56,4,21,73,2,3,3,True,True,True,True,True,False,False,True,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Truvada,TradeName X,Drug,hiv,hiv,Phase 4,2008-03-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Patients displaying abnormal fasted triglycerides (\> 2 g/L \[2.26 mmol/L\] and less than or equal to 10 g/L \[11.29 mmol/L\]) and/or fasted low density lipoprotein cholesterol ...",No,2008-09-30,FDA-86485,0.56,0.15,3.5,4.21,2008-09-21,2008-11-15,2012-05-16,80,GSK,49,Kenya,33.0,61,12,73,10,38,4,27,2,1,0,True,True,False,False,False,True,False,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Current HAART regimen,TradeName X,Drug,hiv,hiv,Phase 4,2008-03-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Patients displaying abnormal fasted triglycerides (\> 2 g/L \[2.26 mmol/L\] and less than or equal to 10 g/L \[11.29 mmol/L\]) and/or fasted low density lipoprotein cholesterol ...",Yes,2008-04-02,FDA-63749,0.56,0.15,3.5,4.21,2008-09-21,2008-11-15,2012-05-16,66,Gilead,9,Senegal,78.66666666666667,70,86,90,83,53,90,45,1,2,2,True,False,True,True,False,False,False,False,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Metronidazole,Comp Beta,Drug,hiv,hiv,Phase 4,2009-08-01,"Sex: FEMALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Female
* 18 years or older
* HIV-positive
* TV positive by either wet preparation or culture
* ability to refrain from all alcohol use for 24 hours before and after taking oral ...",No,2010-01-24,FDA-83400,0.56,0.15,3.5,4.21,2010-02-21,2010-04-17,2013-10-16,23,AstraZeneca,89,Kenya,58.33333333333334,31,97,18,83,69,52,55,1,3,2,False,True,True,False,True,False,True,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Dolutegravir 50 mg twice daily,TradeName X,Drug,hiv,hiv,Phase 3,2013-12-16,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Screening plasma HIV-1 RNA ≥1000 copies/mL
* ART-experienced, INI-experienced, DTG naïve
* Current virological failure on raltegravir (RAL) or elvitegravir (ELV) regimen
* The s...",Yes,2014-06-13,FDA-28310,2.62,0.32,5.0,7.94,2016-07-29,2016-11-23,2021-11-24,83,AstraZeneca,16,South Africa,51.5,21,88,41,16,69,74,55,1,3,2,True,False,False,False,True,True,True,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Dolutegravir,Product Alpha,Drug,hiv,hiv,Phase 3,2020-10-03,"Sex: FEMALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Mother is able to provide written informed consent for her and her infant's participation in this study
* Mother has confirmed HIV-1 infection based on documented testing of two...",No,2020-12-09,FDA-12685,2.62,0.32,5.0,7.94,2023-05-17,2023-09-11,2028-09-11,53,Merck,71,Kenya,39.33333333333334,69,13,50,49,35,20,36,1,3,0,True,False,False,True,True,False,True,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Emtricitabine/tenofovir alafenamide,Molecule Z,Drug,hiv,hiv,Phase 3,2020-10-03,"Sex: FEMALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Mother is able to provide written informed consent for her and her infant's participation in this study
* Mother has confirmed HIV-1 infection based on documented testing of two...",No,2021-06-23,FDA-61673,2.62,0.32,5.0,7.94,2023-05-17,2023-09-11,2028-09-11,47,Bayer,56,South Africa,52.16666666666666,87,80,82,14,48,2,27,1,1,1,False,True,False,False,True,False,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Emtricitabine/tenofovir disoproxil fumarate,AltName A,Drug,hiv,hiv,Phase 3,2020-10-03,"Sex: FEMALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Mother is able to provide written informed consent for her and her infant's participation in this study
* Mother has confirmed HIV-1 infection based on documented testing of two...",No,2021-05-03,FDA-85272,2.62,0.32,5.0,7.94,2023-05-17,2023-09-11,2028-09-11,59,GSK,30,Senegal,46.0,24,56,86,17,12,81,36,0,2,2,False,False,False,False,True,True,False,False,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Efavirenz/emtricitabine/tenofovir disoproxil fumarate,Comp Beta,Drug,hiv,hiv,Phase 3,2020-10-03,"Sex: FEMALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Mother is able to provide written informed consent for her and her infant's participation in this study
* Mother has confirmed HIV-1 infection based on documented testing of two...",Yes,2021-06-23,FDA-71905,2.62,0.32,5.0,7.94,2023-05-17,2023-09-11,2028-09-11,9,AstraZeneca,73,South Africa,60.66666666666666,68,54,34,74,93,41,45,1,2,2,False,True,False,False,True,True,False,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Atazanavir,TradeName X,Drug,hiv,hiv,Phase 4,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria :\>

* HIV-1 infected\>
* CD4 count fewer than 300 cells/mm3 \>
* Viral load test result\>
* Absolute Neutrophil Count at least 750mm3 \>
* Hemoglobin at least 7.5 g/dL\>
* Platelet...",No,2010-06-16,FDA-73217,0.56,0.15,3.5,4.21,2010-11-21,2011-01-15,2014-07-16,39,Novartis,10,Kenya,67.66666666666667,32,57,94,85,99,39,64,1,3,3,True,False,False,True,True,False,True,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Didanosine (enteric-coated),GenName Y,Drug,hiv,hiv,Phase 4,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria :\>

* HIV-1 infected\>
* CD4 count fewer than 300 cells/mm3 \>
* Viral load test result\>
* Absolute Neutrophil Count at least 750mm3 \>
* Hemoglobin at least 7.5 g/dL\>
* Platelet...",Yes,2011-05-01,FDA-59854,0.56,0.15,3.5,4.21,2010-11-21,2011-01-15,2014-07-16,61,Pfizer,74,Senegal,21.66666666666667,62,9,2,12,16,29,55,2,1,3,True,True,False,True,False,False,False,True,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Efavirenz,Molecule Z,Drug,hiv,hiv,Phase 4,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria :\>

* HIV-1 infected\>
* CD4 count fewer than 300 cells/mm3 \>
* Viral load test result\>
* Absolute Neutrophil Count at least 750mm3 \>
* Hemoglobin at least 7.5 g/dL\>
* Platelet...",No,2010-08-06,FDA-60709,0.56,0.15,3.5,4.21,2010-11-21,2011-01-15,2014-07-16,12,Pfizer,35,South Africa,51.33333333333334,42,53,23,46,53,91,73,1,3,4,False,True,False,True,True,True,False,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Emtricitabine,Comp Beta,Drug,hiv,hiv,Phase 4,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria :\>

* HIV-1 infected\>
* CD4 count fewer than 300 cells/mm3 \>
* Viral load test result\>
* Absolute Neutrophil Count at least 750mm3 \>
* Hemoglobin at least 7.5 g/dL\>
* Platelet...",Yes,2010-07-05,FDA-17513,0.56,0.15,3.5,4.21,2010-11-21,2011-01-15,2014-07-16,89,Bayer,27,Overall,45.83333333333334,70,12,52,38,3,100,55,1,3,2,False,True,False,True,False,True,True,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Emtricitabine/Tenofovir disoproxil fumarate,Comp Beta,Drug,hiv,hiv,Phase 4,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria :\>

* HIV-1 infected\>
* CD4 count fewer than 300 cells/mm3 \>
* Viral load test result\>
* Absolute Neutrophil Count at least 750mm3 \>
* Hemoglobin at least 7.5 g/dL\>
* Platelet...",Yes,2010-07-15,FDA-28455,0.56,0.15,3.5,4.21,2010-11-21,2011-01-15,2014-07-16,97,Merck,42,Senegal,40.33333333333334,7,83,2,45,45,60,27,0,2,1,False,False,True,False,False,True,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Lamivudine/Zidovudine,AltName B,Drug,hiv,hiv,Phase 4,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria :\>

* HIV-1 infected\>
* CD4 count fewer than 300 cells/mm3 \>
* Viral load test result\>
* Absolute Neutrophil Count at least 750mm3 \>
* Hemoglobin at least 7.5 g/dL\>
* Platelet...",No,2011-01-27,FDA-59034,0.56,0.15,3.5,4.21,2010-11-21,2011-01-15,2014-07-16,12,Pfizer,80,Overall,78.83333333333333,30,91,79,84,97,92,55,0,3,3,False,False,True,False,False,True,True,True,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
GSK1265744 10 mg,AltName B,Drug,hiv,hiv,Phase 2,2019-01-15,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infected male or female subjects \>= 18 years of age
* Screening plasma HIV-1 RNA \>=1000 c/mL
* CD4+ cell count \>=200 cells/millimeter (mm)\^3
* ART-naive defined as hav...",Yes,2019-08-07,FDA-14811,4.41,0.98,21.0,26.39,2023-06-13,2024-06-05,2045-06-05,99,Bayer,96,Kenya,34.16666666666666,45,8,52,4,96,0,73,2,3,3,True,True,True,True,False,False,True,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
GSK1265744 30 mg,Comp Beta,Drug,hiv,hiv,Phase 2,2019-01-15,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infected male or female subjects \>= 18 years of age
* Screening plasma HIV-1 RNA \>=1000 c/mL
* CD4+ cell count \>=200 cells/millimeter (mm)\^3
* ART-naive defined as hav...",Yes,2019-02-22,FDA-29177,4.41,0.98,21.0,26.39,2023-06-13,2024-06-05,2045-06-05,2,Gilead,97,Kenya,56.33333333333334,54,49,34,70,96,35,27,1,2,0,False,True,False,False,True,True,False,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
GSK1265744 60 mg,Comp Beta,Drug,hiv,hiv,Phase 2,2019-01-15,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infected male or female subjects \>= 18 years of age
* Screening plasma HIV-1 RNA \>=1000 c/mL
* CD4+ cell count \>=200 cells/millimeter (mm)\^3
* ART-naive defined as hav...",Yes,2019-05-02,FDA-68889,4.41,0.98,21.0,26.39,2023-06-13,2024-06-05,2045-06-05,87,Pfizer,69,Senegal,59.83333333333334,43,99,94,23,98,2,55,1,3,2,False,True,True,False,True,True,False,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Efavirenz 600 mg,Molecule Z,Drug,hiv,hiv,Phase 2,2019-01-15,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infected male or female subjects \>= 18 years of age
* Screening plasma HIV-1 RNA \>=1000 c/mL
* CD4+ cell count \>=200 cells/millimeter (mm)\^3
* ART-naive defined as hav...",Yes,2019-05-31,FDA-96141,4.41,0.98,21.0,26.39,2023-06-13,2024-06-05,2045-06-05,33,AstraZeneca,73,Overall,37.33333333333334,43,8,38,38,35,62,45,0,2,3,False,False,False,True,True,False,False,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Rilpivirine 25 mg,Comp Beta,Drug,hiv,hiv,Phase 2,2019-01-15,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infected male or female subjects \>= 18 years of age
* Screening plasma HIV-1 RNA \>=1000 c/mL
* CD4+ cell count \>=200 cells/millimeter (mm)\^3
* ART-naive defined as hav...",No,2019-03-05,FDA-31233,4.41,0.98,21.0,26.39,2023-06-13,2024-06-05,2045-06-05,19,Merck,44,Kenya,46.83333333333334,2,65,59,93,21,41,45,1,3,1,False,True,True,True,False,True,False,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Abacavir/Lamivudine (ABC/3TC) or Tenofovir/Emtricitabine (TDF/FTC),AltName B,Drug,hiv,hiv,Phase 2,2019-01-15,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1 infected male or female subjects \>= 18 years of age
* Screening plasma HIV-1 RNA \>=1000 c/mL
* CD4+ cell count \>=200 cells/millimeter (mm)\^3
* ART-naive defined as hav...",No,2019-10-19,FDA-80826,4.41,0.98,21.0,26.39,2023-06-13,2024-06-05,2045-06-05,56,Sanofi,30,Overall,32.0,52,4,25,6,59,46,55,1,3,2,False,True,True,False,False,True,True,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Abacavir/lamivudine and efavirenz,Molecule Z,Drug,hiv,hiv,Phase 4,2009-12-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Subject is at least 18 years of age.
* Subject is antiretroviral-naïve (defined as having no previous therapy with any NNRTI and 14 days of prior therapy with any other antiretr...",Yes,2010-10-05,FDA-44706,0.56,0.15,3.5,4.21,2010-06-23,2010-08-17,2014-02-15,91,Sanofi,49,Senegal,67.33333333333333,86,84,80,73,55,26,45,1,2,2,False,True,True,True,False,False,False,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Tenofovir/Emtricitabine and efavirenz,Molecule Z,Drug,hiv,hiv,Phase 4,2009-12-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Subject is at least 18 years of age.
* Subject is antiretroviral-naïve (defined as having no previous therapy with any NNRTI and 14 days of prior therapy with any other antiretr...",Yes,2010-05-30,FDA-87388,0.56,0.15,3.5,4.21,2010-06-23,2010-08-17,2014-02-15,79,Bayer,8,Senegal,58.66666666666666,96,89,49,72,8,38,18,0,1,1,False,False,False,False,False,True,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
LC002 standard vaccination,AltName B,Biological,hiv,hiv,Phase 2,2010-09-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1-infected
* On a stable HAART regimen without changes or interruptions for more than 4 consecutive days for at least 12 weeks prior to study entry. Patients must be current...",No,2011-03-10,FDA-12638,4.41,0.98,21.0,26.39,2015-01-28,2016-01-21,2037-01-20,37,AstraZeneca,30,South Africa,49.0,12,48,90,88,54,2,36,0,1,3,False,False,False,True,False,False,False,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
LC002 high-dose vaccination,AltName A,Biological,hiv,hiv,Phase 2,2010-09-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-1-infected
* On a stable HAART regimen without changes or interruptions for more than 4 consecutive days for at least 12 weeks prior to study entry. Patients must be current...",No,2011-03-03,FDA-84998,4.41,0.98,21.0,26.39,2015-01-28,2016-01-21,2037-01-20,24,Sanofi,33,Senegal,46.83333333333334,46,29,46,85,44,31,64,0,4,3,False,False,True,False,True,True,True,True,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
TUTI-16 (0.03mg),GenName Y,Biological,hiv,hiv,Phase 2,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Males and Females
* Age ≥18 and ≤50 years at Screening
* HIV-1 seropositive
* asymptomatic and in generally good health
* no prior anti-retroviral therapy within 6 months of scr...",Yes,2010-09-20,FDA-32181,4.41,0.98,21.0,26.39,2014-09-27,2015-09-20,2036-09-19,94,Sanofi,54,Kenya,56.16666666666666,27,93,63,77,10,67,64,1,4,2,True,False,False,True,True,True,True,False,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
TUTI-16 (0.1mg),Product Alpha,Biological,hiv,hiv,Phase 2,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Males and Females
* Age ≥18 and ≤50 years at Screening
* HIV-1 seropositive
* asymptomatic and in generally good health
* no prior anti-retroviral therapy within 6 months of scr...",No,2010-10-16,FDA-82235,4.41,0.98,21.0,26.39,2014-09-27,2015-09-20,2036-09-19,27,Merck,14,Overall,48.5,56,51,59,13,83,29,45,2,2,1,True,True,False,True,False,True,False,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
TUTI-16 (0.6mg),GenName Y,Biological,hiv,hiv,Phase 2,2010-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Males and Females
* Age ≥18 and ≤50 years at Screening
* HIV-1 seropositive
* asymptomatic and in generally good health
* no prior anti-retroviral therapy within 6 months of scr...",Yes,2010-07-18,FDA-71301,4.41,0.98,21.0,26.39,2014-09-27,2015-09-20,2036-09-19,57,Bayer,2,South Africa,40.83333333333334,60,21,16,33,95,20,36,1,1,2,False,True,False,False,True,False,False,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
ATV/r,Molecule Z,Drug,hiv,hiv,Phase 4,2011-06-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Currently receiving Antiretroviral Therapy (ART) regimen including LPV/r or FPV/r and \> or equal to 2 Nucleoside Reverse Transcriptase Inhibitors (NRTIs). Patient must be on a ...",No,2012-04-30,FDA-95836,0.56,0.15,3.5,4.21,2011-12-22,2012-02-15,2015-08-16,25,Gilead,75,Senegal,66.0,76,90,59,93,64,14,55,1,3,2,True,False,False,True,True,True,False,False,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
DRV/r,AltName A,Drug,hiv,hiv,Phase 4,2011-06-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Currently receiving Antiretroviral Therapy (ART) regimen including LPV/r or FPV/r and \> or equal to 2 Nucleoside Reverse Transcriptase Inhibitors (NRTIs). Patient must be on a ...",No,2011-12-15,FDA-28034,0.56,0.15,3.5,4.21,2011-12-22,2012-02-15,2015-08-16,43,Sanofi,82,Overall,63.66666666666666,79,74,78,50,26,75,18,1,0,1,True,False,False,False,False,False,False,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Dolutegravir 50 mg,Product Alpha,Drug,hiv,hiv,Phase 2,2022-10-27,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

HIV positive patients over 18 years old, who have failed first-line ART regimen of tenofovir-emtricitabine/lamivudine-efavirenz, are able to attend the study clinic for one year o...",No,2023-01-14,FDA-91605,4.41,0.98,21.0,26.39,2027-03-25,2028-03-17,2049-03-17,9,Sanofi,95,Kenya,36.83333333333334,88,13,3,42,20,55,55,0,2,4,False,False,False,True,False,False,True,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
