Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model
Cell-culture rabies vaccine (MALARIA-055 PRI),AltName A,Biological,Malaria,Malaria,Phase 3,2017-01-31,"Sex: ALL; Age: >42 Months; Criteria: Inclusion Criteria:

* Subjects' parent(s)/ Legally Acceptable Representative (LARs) who, in the opinion of the investigator, can and will comply with the requirements of the protocol.
* Subjects who ...",No,2017-04-21,FDA-91910,2.62,0.32,5,7.94,2019-09-14,2020-01-09,2025-01-09,91,Bayer,60,Kenya,33.5,25,5,68,66,13,24,55,1,2,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
TritanrixHepB/Hib (MALARIA-055 PRI),AltName B,Biological,Malaria,Malaria,Phase 3,2017-01-31,"Sex: ALL; Age: >42 Months; Criteria: Inclusion Criteria:

* Subjects' parent(s)/ Legally Acceptable Representative (LARs) who, in the opinion of the investigator, can and will comply with the requirements of the protocol.
* Subjects who ...",Yes,2017-09-15,FDA-36803,2.62,0.32,5,7.94,2019-09-14,2020-01-09,2025-01-09,66,GSK,62,Kenya,69.83333333,64,36,75,82,78,84,64,1,4,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Polio Sabin Oral Polio Vaccine (GSK) (MALARIA-055 PRI),Molecule Z,Biological,Malaria,Malaria,Phase 3,2017-01-31,"Sex: ALL; Age: >42 Months; Criteria: Inclusion Criteria:

* Subjects' parent(s)/ Legally Acceptable Representative (LARs) who, in the opinion of the investigator, can and will comply with the requirements of the protocol.
* Subjects who ...",No,2017-05-20,FDA-63276,2.62,0.32,5,7.94,2019-09-14,2020-01-09,2025-01-09,16,Gilead,96,Senegal,34.83333333,7,19,29,57,7,90,64,2,3,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Candidate Plasmodium falciparum malaria vaccine,AltName B,Biological,Malaria,Malaria,Phase 3,2020-10-07,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

* Subjects' parent(s)/Legally Acceptable Representative(s) (LAR\[s\]) who, in the opinion of the investigator, could and complied with the requirements of the protocol.
* A male o...",No,2020-12-01,FDA-72599,2.62,0.32,5,7.94,2023-05-21,2023-09-15,2028-09-15,42,Novartis,91,South Africa,26.5,64,20,9,23,28,15,73,1,3,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Polio Sabin Oral Polio Vaccine (GSK),Molecule Z,Biological,Malaria,Malaria,Phase 3,2014-01-31,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy the following criteria at study entry:

* A male or female child of:5-17 months (inclusive) of age at time of first vaccination,or between 6-12 weeks of ...",Yes,2014-11-04,FDA-89470,2.62,0.32,5,7.94,2016-09-13,2017-01-08,2022-01-09,68,Gilead,73,South Africa,35.5,6,36,60,5,29,77,64,2,3,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
MR-Vac,Molecule Z,Biological,Malaria,Malaria,Phase 3,2020-10-07,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

* Subjects' parent(s)/Legally Acceptable Representative(s) (LAR\[s\]) who, in the opinion of the investigator, could and complied with the requirements of the protocol.
* A male o...",No,2021-01-26,FDA-29398,2.62,0.32,5,7.94,2023-05-21,2023-09-15,2028-09-15,90,Bayer,15,South Africa,55,38,64,89,40,34,65,27,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Stamaril,AltName A,Biological,Malaria,Malaria,Phase 3,2020-10-07,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

* Subjects' parent(s)/Legally Acceptable Representative(s) (LAR\[s\]) who, in the opinion of the investigator, could and complied with the requirements of the protocol.
* A male o...",No,2021-09-12,FDA-27784,2.62,0.32,5,7.94,2023-05-21,2023-09-15,2028-09-15,59,Bayer,76,Overall,64.66666667,84,42,15,90,72,85,45,2,2,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Malaria Vaccine 257049,Molecule Z,Biological,Malaria,Malaria,Phase 3,2014-01-31,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy the following criteria at study entry:

* A male or female child of:5-17 months (inclusive) of age at time of first vaccination,or between 6-12 weeks of ...",No,2014-07-03,FDA-10012,2.62,0.32,5,7.94,2016-09-13,2017-01-08,2022-01-09,55,Sanofi,83,Overall,70.83333333,86,96,54,25,73,91,27,0,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Meningococcal C Conjugate Vaccine,Product Alpha,Biological,Malaria,Malaria,Phase 3,2014-01-31,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy the following criteria at study entry:

* A male or female child of:5-17 months (inclusive) of age at time of first vaccination,or between 6-12 weeks of ...",Yes,2014-07-04,FDA-85207,2.62,0.32,5,7.94,2016-09-13,2017-01-08,2022-01-09,10,Merck,68,Senegal,71,95,90,70,46,28,97,55,1,3,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Cell-culture rabies vaccine,AltName B,Biological,Malaria,Malaria,Phase 3,2014-01-31,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy the following criteria at study entry:

* A male or female child of:5-17 months (inclusive) of age at time of first vaccination,or between 6-12 weeks of ...",No,2015-01-14,FDA-81897,2.62,0.32,5,7.94,2016-09-13,2017-01-08,2022-01-09,99,Merck,51,Senegal,38.83333333,11,33,25,64,2,98,36,0,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
TritanrixHepB/Hib,AltName A,Biological,Malaria,Malaria,Phase 3,2014-01-31,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

All subjects must satisfy the following criteria at study entry:

* A male or female child of:5-17 months (inclusive) of age at time of first vaccination,or between 6-12 weeks of ...",No,2014-11-29,FDA-40155,2.62,0.32,5,7.94,2016-09-13,2017-01-08,2022-01-09,16,Novartis,43,Overall,41.83333333,27,35,54,49,75,11,55,1,3,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Monthly dihydroartemisinin-piperaquine (DP) for adult women during pregnancy,AltName B,Drug,Malaria,Malaria,Phase 3,2018-05-14,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Pregnancy confirmed by positive urine pregnancy test or intrauterine pregnancy by ultrasound
2. Estimated gestational age between 12-20 weeks
3. Confirmed to be HIV uninfected ...",No,2019-02-15,FDA-27655,2.62,0.32,5,7.94,2020-12-25,2021-04-21,2026-04-22,95,Novartis,8,Kenya,40.5,43,16,54,13,58,59,27,0,2,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Monthly dihydroartemisinin-piperaquine (DP) for infants,TradeName X,Drug,Malaria,Malaria,Phase 3,2018-05-14,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Pregnancy confirmed by positive urine pregnancy test or intrauterine pregnancy by ultrasound
2. Estimated gestational age between 12-20 weeks
3. Confirmed to be HIV uninfected ...",Yes,2018-07-20,FDA-51444,2.62,0.32,5,7.94,2020-12-25,2021-04-21,2026-04-22,1,Merck,13,South Africa,47.5,9,40,52,40,76,68,55,1,4,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Monthly Sulfadoxine-Pyrimethamine (SP) During Pregnancy,GenName Y,Drug,Malaria,Malaria,Phase 3,2018-12-04,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

* Pregnancy confirmed by positive urine pregnancy test or intrauterine pregnancy by ultrasound
* Estimated gestational age between 12-20 weeks
* Confirmed to be HIV uninfected by ...",Yes,2019-07-24,FDA-40410,2.62,0.32,5,7.94,2021-07-17,2021-11-11,2026-11-12,5,Merck,88,Senegal,72.16666667,98,37,32,85,81,100,73,2,4,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3 dose sulfadoxine-pyrimethamine (SP) for adult women during pregnancy,Comp Beta,Drug,Malaria,Malaria,Phase 3,2018-05-14,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Pregnancy confirmed by positive urine pregnancy test or intrauterine pregnancy by ultrasound
2. Estimated gestational age between 12-20 weeks
3. Confirmed to be HIV uninfected ...",No,2018-06-21,FDA-28230,2.62,0.32,5,7.94,2020-12-25,2021-04-21,2026-04-22,51,Sanofi,54,South Africa,42.33333333,26,14,47,32,41,94,55,2,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
3-monthly dihydroartemisinin-piperaquine (DP) for infants,Comp Beta,Drug,Malaria,Malaria,Phase 3,2018-05-14,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Pregnancy confirmed by positive urine pregnancy test or intrauterine pregnancy by ultrasound
2. Estimated gestational age between 12-20 weeks
3. Confirmed to be HIV uninfected ...",No,2019-01-25,FDA-29994,2.62,0.32,5,7.94,2020-12-25,2021-04-21,2026-04-22,85,J&J,12,South Africa,55,61,32,41,83,67,46,55,2,3,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Rouvaxª,Comp Beta,Biological,Malaria,Malaria,Phase 2,2009-10-07,"Sex: ALL; Age: >6 Weeks; Criteria: Inclusion Criteria:

* A male or female infant between 6 and 10 weeks of age at the time of first vaccination.
* Signed or thumb-printed informed consent obtained from the parent(s)/guardian(s) of the...",Yes,2010-04-11,FDA-69631,4.41,0.98,21,26.39,2014-03-05,2015-02-26,2036-02-26,99,AstraZeneca,30,Senegal,58,36,48,81,48,78,57,55,0,2,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
KAF156,GenName Y,Drug,Malaria,Malaria,Phase 2,2021-06-28,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Part A: male and female patients ³ 12 years and with a body weight ³ 35.0 kg. Part B: after determining the effective/tolerated doses and regimens in adolescent and adult patien...",No,2022-02-22,FDA-81356,4.41,0.98,21,26.39,2025-11-24,2026-11-17,2047-11-17,26,Gilead,55,Senegal,67.66666667,75,71,70,46,93,51,27,1,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"RTS, S/AS01B",AltName A,Biological,Malaria,Malaria,Phase 2,2006-09-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion criteria:

* Healthy male or female volunteers aged between 18 and 35 years at the time of first vaccination who have given written consent for their participation in the study were included...",No,2007-07-13,FDA-44674,4.41,0.98,21,26.39,2011-01-28,2012-01-21,2033-01-20,92,Novartis,68,Kenya,40.33333333,17,98,15,38,72,2,45,2,0,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Prevnarª,Comp Beta,Biological,Malaria,Malaria,Phase 2,2007-05-01,"Sex: ALL; Age: >33 Months; Criteria: Inclusion criteria:

* Completion of Visit 7, Month 21 of 104297 (NCT= NCT00197041).
* Written informed consent obtained from the parent(s) or guardian(s) of the subject

Exclusion criteria:

* Planne...",No,2008-03-04,FDA-28003,4.41,0.98,21,26.39,2011-09-27,2012-09-19,2033-09-19,27,Gilead,99,Kenya,34.33333333,55,18,92,21,18,2,55,0,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Hiberix¨,GenName Y,Biological,Malaria,Malaria,Phase 2,2007-05-01,"Sex: ALL; Age: >33 Months; Criteria: Inclusion criteria:

* Completion of Visit 7, Month 21 of 104297 (NCT= NCT00197041).
* Written informed consent obtained from the parent(s) or guardian(s) of the subject

Exclusion criteria:

* Planne...",No,2007-10-04,FDA-29415,4.41,0.98,21,26.39,2011-09-27,2012-09-19,2033-09-19,67,GSK,65,Overall,58.83333333,63,23,69,67,77,54,73,1,3,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Engerixª-B,Molecule Z,Biological,Malaria,Malaria,Phase 2,2007-05-01,"Sex: ALL; Age: >33 Months; Criteria: Inclusion criteria:

* Completion of Visit 7, Month 21 of 104297 (NCT= NCT00197041).
* Written informed consent obtained from the parent(s) or guardian(s) of the subject

Exclusion criteria:

* Planne...",No,2008-04-09,FDA-76465,4.41,0.98,21,26.39,2011-09-27,2012-09-19,2033-09-19,10,Sanofi,34,South Africa,43.5,17,16,38,68,68,54,55,2,2,2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
GSK Biologicals' candidate Plasmodium falciparum malaria vaccine 257049,AltName B,Biological,Malaria,Malaria,Phase 2,2007-05-01,"Sex: ALL; Age: >33 Months; Criteria: Inclusion criteria:

* Completion of Visit 7, Month 21 of 104297 (NCT= NCT00197041).
* Written informed consent obtained from the parent(s) or guardian(s) of the subject

Exclusion criteria:

* Planne...",Yes,2007-06-10,FDA-74356,4.41,0.98,21,26.39,2011-09-27,2012-09-19,2033-09-19,39,J&J,69,Overall,25.66666667,11,25,14,60,37,7,55,0,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Lumefantrine Solid Dispersion Formulation,Molecule Z,Drug,Malaria,Malaria,Phase 2,2021-06-28,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Part A: male and female patients ³ 12 years and with a body weight ³ 35.0 kg. Part B: after determining the effective/tolerated doses and regimens in adolescent and adult patien...",No,2021-12-22,FDA-89543,4.41,0.98,21,26.39,2025-11-24,2026-11-17,2047-11-17,74,Sanofi,23,South Africa,45.16666667,16,18,98,26,57,56,64,0,3,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Coartem,TradeName X,Drug,Malaria,Malaria,Phase 2,2021-06-28,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Part A: male and female patients ³ 12 years and with a body weight ³ 35.0 kg. Part B: after determining the effective/tolerated doses and regimens in adolescent and adult patien...",Yes,2021-12-13,FDA-54064,4.41,0.98,21,26.39,2025-11-24,2026-11-17,2047-11-17,96,Merck,57,Overall,40.5,45,48,73,8,58,11,64,1,3,3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Rabipur (Rabies) Vaccine,GenName Y,Biological,Malaria,Malaria,Phase 2,2006-09-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion criteria:

* Healthy male or female volunteers aged between 18 and 35 years at the time of first vaccination who have given written consent for their participation in the study were included...",No,2006-11-19,FDA-55951,4.41,0.98,21,26.39,2011-01-28,2012-01-21,2033-01-20,99,Pfizer,48,Overall,68.83333333,55,91,55,80,66,66,45,0,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Artemether,Molecule Z,Drug,Malaria,Malaria,Phase 2,2010-01-01,"Sex: ALL; Criteria: Inclusion Criteria:

1. The patient's parent or attendant relative has provided informed consent and the patient has assented (where relevant) to participation in the trial
2. The patient is a child t...",Yes,2010-11-28,FDA-75095,4.41,0.98,21,26.39,2014-05-30,2015-05-23,2036-05-22,50,AstraZeneca,16,Senegal,58.66666667,79,8,79,61,94,31,36,1,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
VMP001,AltName B,Biological,Malaria,Malaria,Phase 2,2012-01-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Subjects who meet all of the following criteria may participate in this study:
* Healthy adults (male or non-pregnant, non-lactating female) 18 to 55 years of age (inclusive) at...",Yes,2012-12-22,FDA-44860,4.41,0.98,21,26.39,2016-05-29,2017-05-22,2038-05-22,15,Pfizer,10,South Africa,47.16666667,28,15,87,60,87,6,64,1,3,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
GSK Biologicals' malaria vaccine 257049 (3 doses),AltName A,Biological,Malaria,Malaria,Phase 2,2012-07-03,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Subjects who the investigator believes can and will comply with the requirements of the protocol.
* A male or non-pregnant female 18 to 50 years of age at the time of first vacc...",Yes,2013-02-25,FDA-78416,4.41,0.98,21,26.39,2016-11-29,2017-11-22,2038-11-22,30,Pfizer,55,Kenya,43.33333333,5,100,8,76,71,0,36,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
GSK Biologicals' malaria vaccine 257049 (2 doses),Molecule Z,Biological,Malaria,Malaria,Phase 2,2012-07-03,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Subjects who the investigator believes can and will comply with the requirements of the protocol.
* A male or non-pregnant female 18 to 50 years of age at the time of first vacc...",Yes,2013-01-25,FDA-68055,4.41,0.98,21,26.39,2016-11-29,2017-11-22,2038-11-22,30,J&J,15,South Africa,71.5,82,47,91,46,95,68,73,2,3,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Crucell's replication deficient adenovirus type 35 circumsporozoite malaria vaccine (Ad35.CS.01),Product Alpha,Biological,Malaria,Malaria,Phase 2,2012-07-03,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Subjects who the investigator believes can and will comply with the requirements of the protocol.
* A male or non-pregnant female 18 to 50 years of age at the time of first vacc...",Yes,2012-09-02,FDA-55829,4.41,0.98,21,26.39,2016-11-29,2017-11-22,2038-11-22,18,Bayer,51,Senegal,39.66666667,13,61,10,31,23,100,64,2,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"RTS,S/AS01E (SB257049)",Comp Beta,Biological,Malaria,Malaria,Phase 2,2019-09-26,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

Only for subjects from MALARIA-092 study (NCT03162614):

¥ Subjects vaccinated and having undergone sporozoite challenge during the primary study (MALARIA-092 \[NCT03162614\]).

F...",No,2020-03-04,FDA-95929,4.41,0.98,21,26.39,2024-02-22,2025-02-14,2046-02-14,42,AstraZeneca,39,Senegal,37.83333333,25,93,3,4,88,14,73,1,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"RTS, S/AS02A",Product Alpha,Biological,Malaria,Malaria,Phase 2,2006-09-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion criteria:

* Healthy male or female volunteers aged between 18 and 35 years at the time of first vaccination who have given written consent for their participation in the study were included...",Yes,2006-10-20,FDA-48780,4.41,0.98,21,26.39,2011-01-28,2012-01-21,2033-01-20,20,Pfizer,6,Overall,48.33333333,67,32,52,60,48,31,55,0,2,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
ChAd63 PvDBP and MVA PvDBP,GenName Y,Biological,Malaria,Malaria,Phase 2,2022-07-07,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Healthy adult aged 18 to 45 years.
* Red blood cells positive for the Duffy antigen/chemokine receptor (DARC).
* Normal serum levels of Glucose-6-phosphate dehydrogenase (G6PD)....",Yes,2023-04-09,FDA-48070,4.41,0.98,21,26.39,2026-12-03,2027-11-26,2048-11-25,75,J&J,45,Senegal,59.66666667,56,75,42,77,37,71,45,1,2,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Double RTS,S/AS01E Fractional dose",Molecule Z,Biological,Malaria,Malaria,Phase 2,2018-02-20,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participant is a healthy male or non-pregnant female, aged 18 to 55 years (inclusive), of Thai origin.
* Participant is willing and able to give informed consent to participate ...",No,2019-01-03,FDA-98917,4.41,0.98,21,26.39,2022-07-19,2023-07-12,2044-07-11,13,Sanofi,98,Kenya,61.5,22,25,71,97,61,93,45,1,3,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Primaquine 15mg (Part2 ),Comp Beta,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",No,2017-01-08,FDA-45218,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,4,J&J,46,Overall,48.5,53,57,35,22,34,90,64,1,3,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Methylene Blue,Molecule Z,Drug,Malaria,Malaria,Phase 2,2017-02-01,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

* Weight ³ 6 kg
* Uncomplicated malaria caused by P. falciparum
* Asexual parasites ³ 2 000/µl and ² 100 000/µl
* Axillary temperature ³ 37.5¡C or a history of fever during the la...",No,2017-03-31,FDA-19658,4.41,0.98,21,26.39,2021-06-30,2022-06-23,2043-06-23,27,Gilead,29,South Africa,50.16666667,29,12,49,87,89,35,73,1,4,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
PfSPZ Vaccine,Comp Beta,Biological,Malaria,Malaria,Phase 2,2023-03-17,"Sex: ALL; Criteria: * INCLUSION CRITERIA:

  1. Females of child bearing potential aged greater than or equal to 18 and less than or equal to 38 years
  2. Able to provide proof of identity to the satisfaction of the stu...",No,2024-01-12,FDA-32088,4.41,0.98,21,26.39,2027-08-13,2028-08-05,2049-08-05,76,Sanofi,39,Kenya,58,80,13,75,89,6,85,55,1,3,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
amodiaquine,TradeName X,Drug,Malaria,Malaria,Phase 2,2007-05-01,"Sex: ALL; Age: >33 Months; Criteria: Inclusion criteria:

* Completion of Visit 7, Month 21 of 104297 (NCT= NCT00197041).
* Written informed consent obtained from the parent(s) or guardian(s) of the subject

Exclusion criteria:

* Planne...",Yes,2007-11-04,FDA-67285,4.41,0.98,21,26.39,2011-09-27,2012-09-19,2033-09-19,60,Merck,42,South Africa,44.83333333,12,23,54,57,40,83,36,1,2,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
R21/Matrix-M vaccination,AltName B,Biological,Malaria,Malaria,Phase 2,2023-09-18,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria

The participant is eligible to enter the study if all of the following apply:

1. Participant is a healthy adult, aged 18 to 55 years (inclusive), of Thai origin.
2. Participant is...",No,2023-11-14,FDA-13188,4.41,0.98,21,26.39,2028-02-14,2029-02-06,2050-02-06,26,Bayer,3,South Africa,63.66666667,89,23,85,57,62,66,91,2,5,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
DHA-PIP,AltName A,Drug,Malaria,Malaria,Phase 2,2023-09-18,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria

The participant is eligible to enter the study if all of the following apply:

1. Participant is a healthy adult, aged 18 to 55 years (inclusive), of Thai origin.
2. Participant is...",No,2024-09-09,FDA-60865,4.41,0.98,21,26.39,2028-02-14,2029-02-06,2050-02-06,55,GSK,18,South Africa,34.16666667,31,2,23,58,41,50,45,1,2,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
PQ,TradeName X,Drug,Malaria,Malaria,Phase 2,2023-09-18,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria

The participant is eligible to enter the study if all of the following apply:

1. Participant is a healthy adult, aged 18 to 55 years (inclusive), of Thai origin.
2. Participant is...",No,2024-08-04,FDA-19305,4.41,0.98,21,26.39,2028-02-14,2029-02-06,2050-02-06,40,Gilead,20,Senegal,51.33333333,71,26,0,73,54,84,45,1,1,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Chloroquine 600mg,Comp Beta,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",No,2017-02-23,FDA-41569,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,18,Gilead,51,Senegal,45,38,20,85,41,53,33,45,1,2,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Chloroquine 300mg,AltName B,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",No,2017-10-10,FDA-76288,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,94,GSK,60,Overall,74.66666667,61,33,95,73,86,100,55,0,3,3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Tafenoquine 50mg,Molecule Z,Drug,Malaria,Malaria,Phase 2,2016-11-18,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria: - Positive Giemsa smear for P. vivax

* Parasite density \>100 and \<200,000/_L
* ³16 years
* A female is eligible if she is non-pregnant, nonlactating and if she is of: - non-chil...",Yes,2017-06-30,FDA-13328,4.41,0.98,21,26.39,2021-04-16,2022-04-09,2043-04-09,97,GSK,48,Kenya,63.33333333,35,94,41,67,63,80,45,0,3,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
