innovation,alternative_names,category,technology,disease,target_population,indication,archetype,trial_status,Other_trial_status,date_trial_status,Other_trial_dates,nra_Kenya,nra_Senegal,nra_South_Africa,eml_Kenya,eml_Senegal,eml_South_Africa,nra_other_status,nra_other_date,nra_other_body,nra_note,gra,gra_date,gra_body,gra_note,eml_date,eml_country,eml_note,manufacturer,dalys,disease_prevalence,other_targeted_population,improvement,dalys_averted,deaths_averted,yll,hs_costs,dalys_monetized,prob_success,procurement,reg_approval,policy_readiness,social_context,guidelines,policy_implemented,date_market,country_supply,distribution,delivery_model,efficacy,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,...55,data_source,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,country,nra,eml,readiness,financing,impact_potential,introduction_readiness
L9LS (anti-malarial monoclonal antibodies),NA,Therapeutic,NA,Malaria,adult malaria,Prevention of malaria,Unclassified / Insufficient information,Phase 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not approved yet by any regulatory body, still in clinical trial",NA,NA,NA,Leidos Biomedical Research,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,22.103894359897822,28.067848798818886
Lambda-cyhalothrin 10% WP,NA,VCPs,NA,Malaria,all ages malaria,"Prevention and control of malaria in children and adults living in areas with ongoing malaria transmission.
WHO policy: strong recommendation, low certainty evidence",New Chemical Entity — Simple,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2024-06-27,WHO_PQ,NA,NA,NA,NA,BR Agrotech Limited,55000000,250000000,NA,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-27,2024-10-22,2029-10-22,NA,NA,2.62,0.32,5,Senegal,No,No,NA,NA,35.516326937358826,28.03943344578147
Lateral flow urine lipoarabinomannan assay,NA,Diagnostic,NA,Tuberculosis,all ages HIV,"Initial diagnostic tests for diagnosis of pulmonary and extrapulmonary active TB without drug-resistance detection in HIV-positive adults, adolescents and children",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenya,No,No,NA,NA,32.25920734228566,72.28053221665323
Lenacapavir,NA,Therapeutic,NA,HIV,adult HIV,Prevention of HIV infection,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,FDA_US,"South Africa: June 19, 2025 for PreP use by FDA US/ 2022 approved by this agencies but not for injectable Prep(EU/US/CANADA-non PreP use) . Kenya: and generic version production will begin tentatively at the 2nd half of 2026",NA,NA,NA,Gilead Sciences,25000000,39400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Africa,No,No,NA,NA,91.12234316533431,51.811376419849694
Levofloxacin,NA,Therapeutic,NA,Tuberculosis,adult TB,"BDLLfxC - 6 months regimen - MDR/RR-TB, with or without fluoroquinolone resistance;
BLLfxCZ - 9 months regimen - MDR/RR-TB with confirmed drug susceptibility to fluoroquinolones.",New Chemical Entity — Simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://extranet.who.int/prequal/medicines/prequalified/finished-pharmaceutical-products,NA,NA,NA,Senegal,No,No,NA,NA,36.971354064298794,88.21521230693907
"Levonorgestrel Tablet, Film-coated 0.03mg",NA,Therapeutic,NA,MNCH,women,Contraception,Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Under review for WHO PQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://extranet.who.int/prequal/medicines/prequalified/finished-pharmaceutical-products,NA,NA,NA,Kenya,No,No,NA,NA,49.647794793127105,42.126135079190135
LIAISON QuantiFERON-TB Gold Plus assay,NA,Diagnostic,NA,Tuberculosis,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,CE-IVDD;WHO recommended;US FDA PMA,NA,NA,NA,NA,QIAGEN GmbH,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,95.25941316969693,73.79519056156278
LIMITOR 5 GR,NA,VCPs,NA,Malaria,all ages malaria,"Conditional recommendation for, Low certainty evidence: WHO suggests the regular application of insecticides to water bodies (larviciding) for the prevention and control of malaria in children and adults as a supplementary intervention to ITNs or IRS in areas with ongoing malaria transmission where aquatic habitats are few, fixed and findable. ",New Chemical Entity — Simple,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017-12-07,WHO_PQ,NA,NA,NA,NA,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-12-07,2018-04-03,2023-04-03,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,Senegal,No,No,NA,NA,46.640737840207294,82.52339231409132
Linezolid,Linezolid,Therapeutic,NA,Tuberculosis,adult TB,"BPaLM - 6 months regimen - MDR/RR-TB
BPaL - 6 months regimen - MDR-TB regimen with TB that is resistant to fluoroquinolones/pre-XDR-TB",Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.impactglobalhealth.org/data/infectious-disease
chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/
https://www.ema.europa.eu/en/documents/outside-eu-product-information/mosquirix-product-information_en.pdf",NA,NA,NA,Kenya,No,No,NA,NA,54.7564597777091,54.05972486641258
Linezolid,"Linezolid Tablet, Dispersible 150mg",Therapeutic,NA,Tuberculosis,adult TB,Treatment of DR-TB; pediatric use,Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Under review for WHO PQ,NA,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,76.52729133842513,71.80581864900887
LIOFeron TB/LTBI IGRA; HUMAN IFN-g ELISA KIT,NA,Diagnostic,NA,Tuberculosis,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,CE-IVDD,NA,NA,NA,NA,LIONEX Diagnostics & Therapeutics GmbH,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,28.85253046406433,50.84402268752456
LiquidArray MTB-XDR VER 1.0,NA,Diagnostic,NA,Tuberculosis,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,CE-IVDR,NA,NA,NA,NA,Hain Lifescience GmbH,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenya,No,No,NA,NA,35.401434402447194,79.17350184172392
Loopamp MTBC Detection Kit,NA,Diagnostic,NA,Tuberculosis,adult TB,Mycobacterium Tuberculosis;Mycobacterium Tuberculosis Complex Species,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,CE-IVDR;WHO recommended,NA,NA,NA,NA,"Eiken Chemical Co., Ltd.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Africa,No,No,NA,NA,36.87830964452587,46.450991032645106
lopinavir/ritonavir 4-in-1 (ABC/3TC/LPV/r),NA,Therapeutic,NA,HIV,pediatric HIV,Treatment for pediatric HIV,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cipla,8000000,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,35.90868481900543,61.16688798647374
Low complexity automated NAATs,NA,Diagnostic,NA,Tuberculosis,drug resistant TB,Follow on diagnostic tests for detection of additional drug-resistance - isoniazid and second-line anti-TB agents,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,87.46733421459794,78.60139640700072
m-PIMA HIV-1/2,m-PIMA HIV-1/2 Detect,Diagnostic,NA,HIV,pediatric HIV,To diagnose HIV infection in infants < 18 months of age,Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000000,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.impactglobalhealth.org/data/infectious-disease
https://elitechgroup.com",NA,NA,NA,South Africa,No,No,NA,NA,70.09175225859508,62.230348855257034
m-PIMA HIV-1/2,m-PIMA HIV-1/2 VL,Diagnostic,NA,HIV,pediatric HIV,To monitor response to antiretroviral treatment; To diagnose HIV infection in infants < 18 months of age (only if validated by the manufacturer),Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000000,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Senegal,No,No,NA,NA,29.457152931718156,68.37221034243703
Magnesium sulphate,Magnesium sulphate - PE/E,Therapeutic,NA,MNCH,pregnancy,Prevention and treatment of Preeclampsia/eclampsia (PE/E)/ Management of Preterm labor for neuroprotection,Unclassified / Insufficient information,Phase 4 / Post-marketing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.impactglobalhealth.org/data/infectious-disease
https://zeesandx.com",NA,NA,NA,Kenya,No,No,NA,NA,95.15159836853854,20.178853685967624
Magnesium sulphate,Magnesium sulphate - PTL/PTB,Therapeutic,NA,MNCH,pregnancy,Preterm labour/birth (PTL/PTB),Unclassified / Insufficient information,Phase 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020-03-16,WHO_PQ,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-16,2020-07-11,2025-07-11,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,South Africa,No,No,NA,NA,46.0227070201654,48.716068651527166
MAGNet,NA,VCPs,NA,Malaria,all ages malaria,"Prevention and control of malaria in children and adults living in areas with ongoing malaria transmission.
WHO policy: strong recommendation, High certainty evidence",New Chemical Entity — Simple,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018-02-19,WHO_PQ,NA,NA,NA,NA,VKA Polymers Pvt. Ltd,55000000,250000000,NA,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-02-19,2018-06-16,2023-06-16,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,Senegal,No,No,NA,NA,98.3300744346343,45.59523526951671
MARTI point-of-care TB diagnostic test,NA,Diagnostic,NA,Tuberculosis,adult TB,Diagnosis of mycobacterium tuberculosis,Unclassified / Insufficient information,Phase 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARTI TB Diagnostics (Pty) Ltd,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://en.bioustar.com,NA,NA,NA,Kenya,No,No,NA,NA,27.573879264527932,39.080382857471704
Maxim (Calypte) HIV-1 Urine EIA,NA,Diagnostic,NA,HIV,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,73.10229400056414,31.64422226510942
MDR/MTB ELITe MGB Kit for InGenius platform,NA,Diagnostic,NA,Tuberculosis,adult TB,Mycobacterium Tuberculosis Complex Species,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Brazil ANVISA;CE-IVDD,NA,NA,NA,NA,ELITechGroup,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,85.81191074918024,72.58053120132536
Medroxyprogesterone acetate,Medroxyprogesterone acetate - Sterile Suspension for injection 104mg/0.65ml,Therapeutic,NA,MNCH,women,Contraception,Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Under review for WHO PQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://en.zhifeishengwu.com/product/ybcp/index.html,NA,NA,NA,Kenya,No,No,NA,NA,51.571068617049605,37.83647957909852
Medroxyprogesterone acetate,Medroxyprogesterone acetate Suspension for injection 150mg/ml,Therapeutic,NA,MNCH,women,Contraception,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2021-07-01,WHO_PQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-01,2021-10-26,2026-10-26,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,South Africa,No,No,NA,NA,27.5838265765924,63.39129237830639
Melatonin - IUGR,NA,Therapeutic,NA,MNCH,pregnancy,Intrauterine growth restriction (IUGR),Unclassified / Insufficient information,Phase 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Senegal,No,No,NA,NA,16.64479806786403,85.30805161595345
MeltPro MTB/EMB Test Kit,MeltPro MTB/EMB Test Kit,Diagnostic,NA,Tuberculosis,adult TB,Mycobacterium Tuberculosis;Mycobacterium Tuberculosis Complex Species,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Other;CE-IVDD,NA,NA,NA,NA,"Xiamen Zeesan Biotech Co., ltd.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenya,No,No,NA,NA,54.056893427623436,39.765618710778654
MeltPro MTB/FQ Test Kit,MeltPro MTB/FQ Test Kit,Therapeutic,NA,Tuberculosis,adult TB,Mycobacterium Tuberculosis;Mycobacterium Tuberculosis Complex Species,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Other;CE-IVDD,NA,NA,NA,NA,"Xiamen Zeesan Biotech Co., ltd.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Africa,No,No,NA,NA,64.88489375449717,37.00278934650123
MeltPro MTB/INH Test Kit,MeltPro MTB/INH Test Kit,Therapeutic,NA,Tuberculosis,adult TB,Mycobacterium Tuberculosis;Mycobacterium Tuberculosis Complex Species,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Other;CE-IVDD,NA,NA,NA,NA,"Xiamen Zeesan Biotech Co., ltd.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Senegal,No,No,NA,NA,65.51869026501663,58.222005180083215
MeltPro MTB/RIF Test Kit,MeltPro MTB/RIF Test Kit,VCPs,NA,Tuberculosis,adult TB,Mycobacterium Tuberculosis;Mycobacterium Tuberculosis Complex Species,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Other;CE-IVDD,NA,NA,NA,NA,"Xiamen Zeesan Biotech Co., ltd.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenya,No,No,NA,NA,95.33019521739334,24.411512375809252
MeltPro MTB/SL Test Kit,MeltPro MTB/SL Test Kit,Diagnostic,NA,Tuberculosis,adult TB,Mycobacterium Tuberculosis;Mycobacterium Tuberculosis Complex Species,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,CE-IVDD,NA,NA,NA,NA,"Xiamen Zeesan Biotech Co., ltd.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Africa,No,No,NA,NA,67.7479886636138,70.06316187605262
MeltPro MTB/STR Test Kit,MeltPro MTB/STR Test Kit,Diagnostic,NA,Tuberculosis,adult TB,Mycobacterium Tuberculosis;Mycobacterium Tuberculosis Complex Species,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Other;CE-IVDD,NA,NA,NA,NA,"Xiamen Zeesan Biotech Co., ltd.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Senegal,No,No,NA,NA,25.483666306827217,54.1159517262131
MeltPro Mycobacteria Identification Kit,MeltPro Mycobacteria Identification Kit,Therapeutics,NA,Tuberculosis,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,CE-IVDD,NA,NA,NA,NA,"Xiamen Zeesan Biotech Co., ltd.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenya,No,No,NA,NA,97.07265315111727,77.59713165927678
MeltPro TB Assay,MeltPro TB Assay,Therapeutic,NA,Tuberculosis,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Other,NA,NA,NA,NA,"Xiamen Zeesan Biotech Co., ltd.",28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Africa,No,No,NA,NA,97.65614164760336,82.57909948471934
MeriSCREEN HIV 1-2 WB,NA,Diagnostic,NA,HIV,all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Senegal,No,No,NA,NA,78.4516535862349,44.25266812555492
MERISCREEN Malaria Pf HRP-II Ag,NA,Diagnostic,NA,Malaria,adult malaria,Indicated to diagnose P. falciparum infection,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2022-11-15,WHO_PQ,NA,NA,NA,NA,Meril Life Sciences,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-15,2023-03-12,2028-03-11,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,Kenya,No,No,NA,NA,44.4267261994537,24.755997610278428
mfloDx MDR-TB kit,NA,Diagnostic,NA,Tuberculosis,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,Unclassified / Insufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,South Africa,No,No,NA,NA,47.961258894065395,13.222017445601523
Microcard,NA,Diagnostic,NA,Tuberculosis,adult TB,Treatment of latent Mycobacterium Tuberculosis/ Adjuvant treatment of tuberculosis chemotherapy,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,75.60594937414862,66.48021993134171
Mifepristone + Misoprostol,NA,Therapeutic,NA,MNCH,pregnancy,Abortion Management,Unclassified / Insufficient information,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019-11-19,WHO_PQ,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-19,2020-03-15,2025-03-15,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,Kenya,No,No,NA,NA,89.86585613689385,86.58620495721698
MiraNet,NA,VCPs,NA,Malaria,all ages malaria,"Prevention and control of malaria in children and adults living in areas with ongoing malaria transmission.
WHO policy: strong recommendation, High certainty evidence",New Chemical Entity — Simple,Approved / Marketed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2018-02-21,WHO_PQ,NA,NA,NA,NA,A to Z Textile Mills Limited,55000000,250000000,NA,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-02-21,2018-06-18,2023-06-18,NA,https://www.impactglobalhealth.org/data/infectious-disease,2.62,0.32,5,South Africa,No,No,NA,NA,80.44834730797447,37.23193980567157
Mirvie RNA platform,Mirvie RNA platform - PE,Diagnostic,NA,MNCH,pregnancy,Preeclampsia/eclampsia (PE/E),Unclassified / Insufficient information,Phase 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Senegal,No,No,NA,NA,99.58283815765753,30.330903029069304
Mirvie RNA platform,Mirvie RNA platform - PTL,Diagnostic,NA,MNCH,pregnancy,Preterm labour/birth (PTL/PTB),Unclassified / Insufficient information,Phase 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,Kenya,No,No,NA,NA,96.83430001605302,87.12076881434768
